Title	ISBN	Subjects
Haiti noir	9781617750137	|French Detective and mystery stories||Detective and mystery stories||Noir fiction||Haitian Short stories||Translations into English||Fiction|
Against the fire	9781410436719	|Large type books||Arson investigation||Women architects||Real estate business||Fiction|
Where she belongs	9781432825454	|Foresters||Mothers and daughters||Fiction|
Maisy goes to the city	9780763653279	|Mice||City and town life||Fiction|
No highway	9780307474124	|Aeronautical engineers||Fiction|
The peregrine	9780865348004	|Grandfathers||Soldiers||Children of military personnel||Fathers and sons||Iraq War, 2003-||Fiction|
Hello, Hollywood!	9780800733469	|Women television writers||Fiction|
Boneyards	9781616145439	|Space ships||Life on other planets||Interplanetary voyages||Fiction|
A killer's essence	9781590203217	|Police||Fiction|
Perfectly Percy	9780061804366	|Porcupines||Balloons||Fiction|
37 things I love (in no particular order)	9780805094657	|Grief||Coma||Interpersonal relations||High schools||Schools||Self-actualization (Psychology)||Fiction|
Pond babies	9780892729203	|Ponds||Pond animals||Fiction||Animals||Infancy|
Widows of Hamilton House	9781894283847	|Mennonites||Canadian fiction||Fiction|
Urban America	9780737752496	|Urban renewal||City children||Urban youth||Crime||Public opinion||Social problems||Urban policy||City planning||Services for||Housing policy||City and town life|
Little girl gone	9781611733488	|Large type books||Kidnapping||Missing children||Fiction|
The diva cooks a goose	9781410436900	|Sophie Winston (Fictitious character)||Murder||Investigation||Large type books||Women cooks||Fiction|
The Devil on horseback	9780449236253	|Fiction||History|
Dark Eden	9780062009708	|Teenage boys||Phobias||Juvenile fiction||Psychotherapy||Fifteen-year-old boys||Interpersonal relations||Fiction|
Gods without men	9780241143117	|Missing children||Fiction|
The Unbecoming of Mara Dyer (Mara Dyer Series, Book 1)	9781442421769	|Post-traumatic stress disorder||Murder||Supernatural||High schools||Schools||Family life||Fiction|
Baxter the Tweeting dog	9781609051990	|Fiction||Graphic novels||Dogs||Online social networks||JUVENILE FICTION / Comics & Graphic Novels / General|
Helsinki white	9780399158322	|Homicide investigation||Police||Fiction|
To Touch a Sheikh	9780373731169	|Sandstorms||Man-woman relationships||Princes||Fiction|
Red, white, and blood	9780399158933	|Vampires||Presidents||Fiction||FICTION / Thrillers||Election||FICTION / Horror|
The pact	9780761385356	|Kidnapping||Diaries||Secrets||Bullies||Fiction||Best friends||Friendship||Juvenile detention homes|
Hits With His Fist gives a helping hand	9780865345089	|Mimbreño Indians||Conduct of life||Indians of North America||Helpfulness||Juvenile fiction||Agriculture||Fiction|
The darkening field	9781410448194	|Politics and government||Detectives||Murder||Crimes against||Fiction||Young women||Investigation||Mystery fiction||Historical fiction||Conspiracy||Large type books|
Mimi tidies up	9780984552368	|Fiction||Orderliness||Mother and child||Toys|
Life in a jar	9780984111312	|Jewish children in the Holocaust||Rescue||Rada Pomocy Żydom "Żegota"||Jews||World War, 1939-1945||Life in a Jar Project||High school students||Righteous Gentiles in the Holocaust||Fiction|
The crime buff's guide to outlaw Washington, DC	9780762773855	|Outlaws||Criminals||Guidebooks||Historic sites||History||Biography||Crime|
The real macaw	9781410440105	|Large type books||Meg Langslow (Fictitious character)||Women detectives||Fiction|
The blood keeper	9780375867347	|JUVENILE FICTION / Horror & Ghost Stories||Magic||JUVENILE FICTION / Love & Romance||Supernatural||JUVENILE FICTION / Fantasy & Magic||Fiction|
Sunrise on Cedar Key	9780758268655	Fiction
Blood daughters	9781597094269	|Hispanic American women||Fiction||Romilia Chacón (Fictitious character)||Policewomen|
Starman Jones	9781451637496	|Science fiction||Interplanetary voyages||Fiction|
Life studies	9781410442765	|Life change events||Art teachers||Middle-aged women||Large type books||Widows||Fiction|
It's mine!	9781561487660	|Bears||Sharing||Fiction||Toys|
The replacement wife	9781410445148	|Dating services||Large type books||Terminally ill||Spouses||Fiction|
Mr. FancyPants!	9780375872471	|Individuality||Marine animals||Juvenile fiction||Fiction||Clothing and dress||Sponges||SpongeBob SquarePants (Fictitious character)||Board books for children||Pants|
Crankee Doodle	9780547818542	|Ponies||Humorous stories||Mood (Psychology)||Fiction|
Killer crullers	9781410448781	|Large type books||Private investigators||Coffee shops||Doughnuts||Fiction|
No hill for a stepper	9781937110000	|United States. Air Force||Fathers and sons||Boxers (Sports)||Fiction||United States||Adult child abuse victims||Non-commissioned officers|
Underground	9781442458826	|Animals||Stories in rhyme||Underground areas||Burrowing animals||Fiction|
A Texas Ranger's Christmas	9780373753819	|Single fathers||Forest rangers||Families||Christmas stories||Fiction|
That's what I'd do	9781442458130	|Juvenile fiction||Fiction||Lullabies||Bedtime||Songs|
The baby that roared	9780763659035	|Forest animals||Babies||Foundlings||JUVENILE FICTION / General||Monsters||Fiction|
The golden flute	9781462110230	|Psychic ability||Buried treasure||Fiction|
December dread	9780738731889	|Murder||Investigation||Fiction|
Unholy lies	9781432825973	|Women journalists||Fiction|
Sandwich, with a side of romance	9781426745928	|Christian women||Fiction|
Something new	9781616262327	|Mennonites||Mennonite women||Conduct of life||Fiction|
Hominid	9781935797166	|Archaeologists||Fiction|
From Notting Hill with love-actually	9781402269486	|Housesitting||Fiancées||Planning||Fiction||Weddings|
The black hawk	9780425244531	Fiction
A world of trouble	9789814361514	|Conspiracies||Fiction|
Zillah	9781877361739	|Coming of age||Self-perception||Interpersonal relations||Identity||Fiction|
Missing among the pyramids	9781420707205	|Civilization||Archaeology||Fiction|
Playbook Farm	9780763661656	|JUVENILE FICTION / Animals / Farm Animals||Pop-up books||Toy and movable books||Domestic animals||JUVENILE FICTION / Imagination & Play||Farms||JUVENILE FICTION / Lifestyles / Farm & Ranch Life||Fiction||Specimens|
Wicked whispers	9780425253137	|Imaginary places||Immortality||Imaginary wars and battles||Fairies||Demonology||Fiction|
Deserted island, dreamy ex!	9780373176847	|Divorced people||Reality television programs||Fiction|
The fine art of mixing girls	9780983137405	|Reporters and reporting||Fiction|
Homer	9780545332729	|Baseball||Dogs||Dreams||Fiction|
Pokémon	9780439721967	|Pokémon (Fictitious characters)||Juvenile fiction||Picture books||Fiction|
Someone	9780374281090	|Irish American women||Fiction|
The headmaster's wager	9780307986467	|School principals||Vietnam War (1961-1975) fast (OCoLC)fst01431664||Vietnam War, 1961-1975||Fathers and sons||Fiction|
Snapped	9781601623676	|Family secrets||Man-woman relationships||Twins||Brothers||African Americans||Fiction|
Cookie	9780312642907	|Baking||Schools||Self-esteem||Family problems||Teasing||Family life||Fiction|
The Cowboy's Return	9780373657483	|Single mothers||Man-woman relationships||Ranchers||Fiction|
Lost and found father	9780373657667	|Adopted children||Man-woman relationships||Fiction|
The story of Douglas		|Dogs||Fiction|
Love bites	9780545289986	|Twins||Brothers and sisters||Vampires||Sisters||Juvenile fiction||Fiction|
Party time, Poppy!	9780439681971	|Hermit crabs||Dolphins||Juvenile fiction||Birthday parties||Fiction|
Bloodhounds	9780446405355	|Peter Diamond (Fictitious character)||Fiction|
Someone like you	9781568654522	|Man-woman relationships||Fiction|
The playboy's proposition	9780373730087	|Fiction||Man-woman relationships||Waitresses||Businessmen||Family-owned business enterprises|
The seven sins	9780765354389	|Rich people||Casinos||Businessmen||Fiction|
The killing hands	9780778326397	|Serial murder investigation||Criminal profilers||Psychics||Serial murders||Fiction|
Flight of Aquavit	9781554830305	|Private investigators||Fiction||Extortion||Gay men||Online dating|
The experiment	9780451200105	|Genetic engineering||Fiction|
The toss of a lemon	9780547247878	|Social conditions||Social life and customs||Women||Families||Fiction|
