276847	0446364193	0	Along Came a Spider (Alex Cross Novels)	James Patterson	1993	Warner Books	http://images.amazon.com/images/P/0446364193.01.THUMBZZZ.jpg	http://images.amazon.com/images/P/0446364193.01.MZZZZZZZ.jpg	http://images.amazon.com/images/P/0446364193.01.LZZZZZZZ.jpg
276925	002542730X	10	Politically Correct Bedtime Stories: Modern Tales for Our Life and Times	James Finn Garner	1994	John Wiley &amp; Sons Inc	http://images.amazon.com/images/P/002542730X.01.THUMBZZZ.jpg	http://images.amazon.com/images/P/002542730X.01.MZZZZZZZ.jpg	http://images.amazon.com/images/P/002542730X.01.LZZZZZZZ.jpg
276925	0060520507	0	Sushi for Beginners : A Novel (Keyes, Marian)	Marian Keyes	2003	William Morrow	http://images.amazon.com/images/P/0060520507.01.THUMBZZZ.jpg	http://images.amazon.com/images/P/0060520507.01.MZZZZZZZ.jpg	http://images.amazon.com/images/P/0060520507.01.LZZZZZZZ.jpg
276925	0060930934	0	Wasted : A Memoir of Anorexia and Bulimia	Marya Hornbacher	1999	Perennial	http://images.amazon.com/images/P/0060930934.01.THUMBZZZ.jpg	http://images.amazon.com/images/P/0060930934.01.MZZZZZZZ.jpg	http://images.amazon.com/images/P/0060930934.01.LZZZZZZZ.jpg
276925	0140327592	0	Matilda	Roald Dahl	1990	Viking Penguin Inc	http://images.amazon.com/images/P/0140327592.01.THUMBZZZ.jpg	http://images.amazon.com/images/P/0140327592.01.MZZZZZZZ.jpg	http://images.amazon.com/images/P/0140327592.01.LZZZZZZZ.jpg
276925	0316666343	0	The Lovely Bones: A Novel	Alice Sebold	2002	Little, Brown	http://images.amazon.com/images/P/0316666343.01.THUMBZZZ.jpg	http://images.amazon.com/images/P/0316666343.01.MZZZZZZZ.jpg	http://images.amazon.com/images/P/0316666343.01.LZZZZZZZ.jpg
276925	0345391810	0	The Restaurant at the End of the Universe (Hitchhiker's Trilogy (Paperback))	Douglas Adams	1995	Ballantine Books	http://images.amazon.com/images/P/0345391810.01.THUMBZZZ.jpg	http://images.amazon.com/images/P/0345391810.01.MZZZZZZZ.jpg	http://images.amazon.com/images/P/0345391810.01.LZZZZZZZ.jpg
276925	0385504209	8	The Da Vinci Code	Dan Brown	2003	Doubleday	http://images.amazon.com/images/P/0385504209.01.THUMBZZZ.jpg	http://images.amazon.com/images/P/0385504209.01.MZZZZZZZ.jpg	http://images.amazon.com/images/P/0385504209.01.LZZZZZZZ.jpg
276925	0449221148	0	High Stakes	Dick Francis	1993	Fawcett Books	http://images.amazon.com/images/P/0449221148.01.THUMBZZZ.jpg	http://images.amazon.com/images/P/0449221148.01.MZZZZZZZ.jpg	http://images.amazon.com/images/P/0449221148.01.LZZZZZZZ.jpg
276925	0451527747	0	Alice's Adventures in Wonderland and Through the Looking Glass	Lewis Carroll	2000	Signet Classics	http://images.amazon.com/images/P/0451527747.01.THUMBZZZ.jpg	http://images.amazon.com/images/P/0451527747.01.MZZZZZZZ.jpg	http://images.amazon.com/images/P/0451527747.01.LZZZZZZZ.jpg
276925	0486282112	0	Frankenstein (Dover Thrift Editions)	Mary Wollstonecraft Shelley	1994	Dover Publications	http://images.amazon.com/images/P/0486282112.01.THUMBZZZ.jpg	http://images.amazon.com/images/P/0486282112.01.MZZZZZZZ.jpg	http://images.amazon.com/images/P/0486282112.01.LZZZZZZZ.jpg
276925	0486424499	0	Jane Eyre (Dover Thrift Editions)	Charlotte Bronte	2003	Dover Publications	http://images.amazon.com/images/P/0486424499.01.THUMBZZZ.jpg	http://images.amazon.com/images/P/0486424499.01.MZZZZZZZ.jpg	http://images.amazon.com/images/P/0486424499.01.LZZZZZZZ.jpg
